Routing tables

Internet:
Destination        Gateway            Flags               Netif Expire
default            192.168.1.1        UGScg                 en0       
default            link#22            UCSIg               utun6       
127                127.0.0.1          UCS                   lo0       
127.0.0.1          127.0.0.1          UH                    lo0       
169.254            link#11            UCS                   en0      !
192.0.2.42         192.0.2.42         UH                  utun6       
192.168.1          link#11            UCS                   en0      !
192.168.1.0        ff:ff:ff:ff:ff:ff  UHLWbI                en0      !
192.168.1.1/32     link#11            UCS                   en0      !
192.168.1.1        78:67:e:60:f8:83   UHLWIir               en0   1198
192.168.1.2        link#11            UHRLWI                en0      !
192.168.1.3        link#11            UHRLWI                en0      !
192.168.1.4        link#11            UHRLWI                en0      !
192.168.1.5        link#11            UHRLWI                en0      !
192.168.1.6        link#11            UHLWI                 en0      !
192.168.1.7        link#11            UHRLWI                en0      !
192.168.1.8        link#11            UHRLWI                en0      !
192.168.1.9        link#11            UHLWI                 en0      !
192.168.1.10       link#11            UHLWI                 en0      !
192.168.1.11       link#11            UHLWI                 en0      !
192.168.1.12       link#11            UHLWI                 en0      !
192.168.1.13       link#11            UHRLWI                en0      !
192.168.1.14       link#11            UHRLWI                en0      !
192.168.1.15       link#11            UHLWI                 en0      !
192.168.1.16       link#11            UHLWI                 en0      !
192.168.1.17       link#11            UHLWI                 en0      !
192.168.1.18       link#11            UHLWI                 en0      !
192.168.1.19       link#11            UHLWI                 en0      !
192.168.1.20       link#11            UHLWI                 en0      !
192.168.1.21       link#11            UHLWI                 en0      !
192.168.1.22       link#11            UHLWI                 en0      !
192.168.1.23       link#11            UHLWI                 en0      !
192.168.1.24       link#11            UHLWI                 en0      !
192.168.1.25       link#11            UHLWI                 en0      !
192.168.1.26       link#11            UHLWI                 en0      !
192.168.1.27       link#11            UHLWI                 en0      !
192.168.1.28       link#11            UHLWI                 en0      !
192.168.1.29       link#11            UHLWI                 en0      !
192.168.1.30       link#11            UHLWI                 en0      !
192.168.1.31       link#11            UHLWI                 en0      !
192.168.1.32       link#11            UHLWI                 en0      !
192.168.1.33       link#11            UHLWI                 en0      !
192.168.1.34       link#11            UHLWI                 en0      !
192.168.1.35       link#11            UHLWI                 en0      !
192.168.1.36       link#11            UHLWI                 en0      !
192.168.1.37       link#11            UHLWI                 en0      !
192.168.1.38       link#11            UHLWI                 en0      !
192.168.1.39       link#11            UHLWI                 en0      !
192.168.1.40       link#11            UHLWI                 en0      !
192.168.1.41       link#11            UHLWI                 en0      !
192.168.1.42       link#11            UHRLWI                en0      !
192.168.1.43       link#11            UHLWI                 en0      !
192.168.1.44       link#11            UHLWI                 en0      !
192.168.1.45       link#11            UHLWI                 en0      !
192.168.1.46       link#11            UHLWI                 en0      !
192.168.1.47       link#11            UHLWI                 en0      !
192.168.1.48       link#11            UHLWI                 en0      !
192.168.1.49       link#11            UHLWI                 en0      !
192.168.1.50       link#11            UHLWI                 en0      !
192.168.1.51       link#11            UHLWI                 en0      !
192.168.1.52       link#11            UHLWI                 en0      !
192.168.1.53       link#11            UHLWI                 en0      !
192.168.1.54       link#11            UHLWI                 en0      !
192.168.1.55       link#11            UHLWI                 en0      !
192.168.1.56       link#11            UHLWI                 en0      !
192.168.1.57       link#11            UHLWI                 en0      !
192.168.1.58       link#11            UHLWI                 en0      !
192.168.1.59       link#11            UHLWI                 en0      !
192.168.1.60       link#11            UHLWI                 en0      !
192.168.1.61       link#11            UHLWI                 en0      !
192.168.1.62       link#11            UHLWI                 en0      !
192.168.1.63       link#11            UHLWI                 en0      !
192.168.1.64       link#11            UHLWI                 en0      !
192.168.1.65       link#11            UHLWI                 en0      !
192.168.1.66       link#11            UHLWI                 en0      !
192.168.1.67       link#11            UHLWI                 en0      !
192.168.1.68       link#11            UHLWI                 en0      !
192.168.1.69       link#11            UHLWI                 en0      !
192.168.1.70       link#11            UHLWI                 en0      !
192.168.1.71       link#11            UHLWI                 en0      !
192.168.1.72       link#11            UHLWI                 en0      !
192.168.1.73       link#11            UHLWI                 en0      !
192.168.1.74       link#11            UHLWI                 en0      !
192.168.1.75       link#11            UHLWI                 en0      !
192.168.1.76       link#11            UHLWI                 en0      !
192.168.1.77       link#11            UHLWI                 en0      !
192.168.1.78       link#11            UHLWI                 en0      !
192.168.1.79       link#11            UHLWI                 en0      !
192.168.1.80       link#11            UHLWI                 en0      !
192.168.1.81       link#11            UHLWI                 en0      !
192.168.1.82       link#11            UHLWI                 en0      !
192.168.1.83       link#11            UHLWI                 en0      !
192.168.1.84       link#11            UHLWI                 en0      !
